team,w_offensive_goals_scored,w_offensive_xg,w_offensive_xg_performance,w_offensive_goals_per_game,w_defensive_goals_conceded,w_defensive_xga,w_defensive_xga_performance,w_defensive_goals_conceded_per_game,w_form_points,w_form_ppg,w_form_win_rate,w_form_form_last5,w_form_goal_diff_per_game,w_historical_hist_avg_position,w_historical_hist_avg_points,w_historical_hist_titles,w_historical_hist_top_4_rate,w_historical_hist_consistency,w_fixture_fixture_avg_difficulty,w_fixture_fixture_next5_difficulty,w_fixture_fixture_advantage_score,w_fixture_fixture_easy_games,ppg,xg_diff_per_game,goal_diff,points
Liverpool,0.22,0.22,0.22,0.22,0.22,0.22,0.1893023255813953,0.22,0.28,0.27999999999999997,0.28,0.28,0.28,0.12152173913043479,0.11686478454680534,0.0325,0.10400000000000001,0.04223951804653831,0.009851899549259744,0.06376119402985064,0.009851899549259802,0.075,2.3529411764705883,1.2529411764705882,26,40
Arsenal,0.19461538461538463,0.19590476190476194,0.18919999999999987,0.19461538461538458,0.198,0.1984049079754601,0.1688372093023256,0.19800000000000004,0.25103448275862067,0.25103448275862067,0.25200000000000006,0.28,0.24956521739130436,0.11445652173913044,0.11145616641901933,0.0,0.078,0.021355928771825648,0.05843528654217672,0.056507462686567186,0.05843528654217671,0.0375,2.176470588235294,1.023529411764706,21,37
Manchester City,0.20307692307692307,0.2126666666666666,0.1628000000000001,0.20307692307692307,0.17600000000000002,0.21595092024539878,0.0,0.17600000000000002,0.24137931034482762,0.24137931034482757,0.25200000000000006,0.28,0.24347826086956523,0.13,0.13,0.13,0.13,0.04604776314186528,0.043077913715389174,0.1131044776119403,0.04307791371538911,0.11249999999999999,2.1176470588235294,1.1941176470588233,20,36
Chelsea,0.16923076923076924,0.1676190476190476,0.17600000000000002,0.16923076923076924,0.15400000000000003,0.15251533742331289,0.13813953488372088,0.15400000000000003,0.22206896551724137,0.22206896551724137,0.22400000000000003,0.28,0.20695652173913043,0.10173913043478264,0.0886627043090639,0.0,0.078,0.011208892854335649,0.1009336767546685,0.13853731343283582,0.10093367675466859,0.075,2.0,0.6647058823529413,14,34
Newcastle,0.1353846153846154,0.12885714285714284,0.16279999999999997,0.13538461538461538,0.18700000000000003,0.1849079754601227,0.1688372093023256,0.18700000000000003,0.2027586206896552,0.2027586206896552,0.19600000000000004,0.14,0.20086956521739133,0.08195652173913044,0.07282317979197622,0.0,0.026000000000000002,0.015852671788984165,0.002318094011591037,0.08516417910447759,0.002318094011591043,0.0375,1.8823529411764706,0.5882352941176471,13,32
Tottenham,0.15230769230769234,0.14666666666666664,0.17600000000000002,0.15230769230769228,0.15400000000000003,0.13901840490797546,0.1893023255813953,0.15400000000000003,0.18344827586206902,0.18344827586206894,0.168,0.14,0.1947826086956522,0.09184782608695653,0.08364041604754828,0.0,0.026000000000000002,0.020706464703595395,0.09484867997424366,0.06985074626865666,0.09484867997424358,0.075,1.7647058823529411,0.4882352941176471,12,30
Aston Villa,0.11846153846153845,0.1120952380952381,0.14520000000000002,0.11846153846153845,0.13200000000000003,0.12147239263803682,0.15348837209302324,0.132,0.1737931034482759,0.17379310344827587,0.168,0.0,0.1582608695652174,0.08054347826086958,0.07475482912332841,0.0,0.026000000000000002,0.010301192610884616,0.15,0.10468656716417907,0.15,0.075,1.7058823529411764,0.21764705882352936,6,29
Manchester Utd,0.10153846153846155,0.1183809523809524,0.030799999999999966,0.10153846153846155,0.15400000000000003,0.130920245398773,0.22,0.15400000000000003,0.15448275862068966,0.15448275862068964,0.14,0.0,0.1582608695652174,0.09608695652173914,0.0847994056463596,0.0,0.052000000000000005,0.007311075054531269,0.08142305215711516,0.06716417910447754,0.08142305215711527,0.0,1.588235294117647,0.29411764705882354,6,27
Brighton,0.11,0.1016190476190476,0.14520000000000002,0.11,0.11,0.10797546012269939,0.10232558139534882,0.11,0.14482758620689656,0.14482758620689654,0.14,0.0,0.14,0.07347826086956523,0.0650965824665676,0.0,0.0,0.008694646727695531,0.08016741790083748,0.04638805970149252,0.08016741790083755,0.0375,1.5294117647058822,0.09999999999999996,3,26
Nottingham Forest,0.08461538461538463,0.07333333333333332,0.132,0.08461538461538463,0.11,0.0985276073619632,0.13813953488372088,0.11,0.13517241379310346,0.13517241379310346,0.14,0.0,0.12173913043478261,0.05181159420289856,0.051188707280832094,0.0,0.0,0.0,0.08721828718609205,0.0033134328358209683,0.08721828718609208,0.11249999999999999,1.4705882352941178,-0.09999999999999996,0,25
Bournemouth,0.08461538461538463,0.0764761904761905,0.11879999999999996,0.08461538461538463,0.13200000000000003,0.11742331288343556,0.1688372093023256,0.132,0.12551724137931036,0.12551724137931036,0.11200000000000002,0.0,0.13391304347826088,0.05652173913043479,0.056339772164437835,0.0,0.0,0.020706464703595395,0.04925949774629801,0.15,0.04925949774629794,0.075,1.411764705882353,0.0,2,24
West Ham,0.07615384615384616,0.0838095238095238,0.04399999999999999,0.07615384615384616,0.11,0.09447852760736197,0.15348837209302324,0.11,0.11586206896551726,0.11586206896551726,0.11200000000000002,0.0,0.11565217391304349,0.07065217391304349,0.06316493313521547,0.0,0.0,0.011021002325976175,0.04162910495814531,0.013522388059701395,0.041629104958145376,0.075,1.3529411764705883,-0.058823529411764705,-1,23
Fulham,0.08461538461538463,0.07019047619047619,0.14520000000000002,0.08461538461538463,0.11,0.10392638036809815,0.11767441860465118,0.11,0.11586206896551726,0.11586206896551726,0.11200000000000002,0.0,0.12173913043478261,0.051222826086956524,0.051188707280832094,0.0,0.0,0.012139604574505553,0.034771410173857625,0.06205970149253736,0.03477141017385765,0.075,1.3529411764705883,-0.09411764705882361,0,23
Brentford,0.10153846153846155,0.09428571428571429,0.132,0.10153846153846155,0.06600000000000002,0.08098159509202453,0.0,0.06600000000000002,0.10620689655172415,0.10620689655172415,0.11200000000000002,0.0,0.10956521739130434,0.052989130434782615,0.0574665676077266,0.0,0.0,0.02006254697149024,0.010528010302640044,0.10182089552238803,0.010528010302640034,0.075,1.2941176470588236,-0.058823529411764705,-2,22
Crystal Palace,0.05076923076923076,0.04923809523809521,0.05720000000000003,0.05076923076923076,0.13200000000000003,0.11202453987730063,0.1893023255813953,0.132,0.09655172413793105,0.09655172413793105,0.08400000000000002,0.0,0.10956521739130434,0.05369565217391305,0.05196136701337296,0.0,0.0,0.030002567862911028,0.0,0.11122388059701493,0.0,0.11249999999999999,1.2352941176470589,-0.17647058823529413,-2,21
