team,points,games,goal_diff,projected_points
Arsenal,39,17,21,87.17647058823529
Manchester City,37,17,25,82.70588235294117
Aston Villa,36,17,9,80.47058823529412
Chelsea,29,17,12,64.82352941176471
Liverpool,29,17,3,64.82352941176471
Sunderland,27,17,2,60.35294117647059
Manchester Utd,26,17,3,58.11764705882352
Crystal Palace,26,17,2,58.11764705882352
Brighton,24,17,2,53.64705882352941
Everton,24,17,-2,53.64705882352941
Newcastle Utd,23,17,1,51.411764705882355
Brentford,23,17,-1,51.411764705882355
Fulham,23,17,-2,51.411764705882355
Tottenham,22,17,3,49.1764705882353
Bournemouth,22,17,-3,49.1764705882353
Leeds United,19,17,-7,42.470588235294116
Nott'ham Forest,18,17,-9,40.23529411764706
West Ham,13,17,-16,29.05882352941176
Burnley,11,17,-15,24.58823529411765
Wolves,2,17,-28,4.470588235294118
