team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,24,17.0,22,0,0,166,178,25,318,116,153,2,0,0,681,277,261,51.5
Aston Villa,23,17.0,25,1,0,177,231,21,267,100,166,0,2,1,619,204,205,49.9
Bournemouth,24,17.0,42,1,0,218,178,38,351,149,172,1,2,0,745,265,310,46.1
Brentford,21,17.0,34,0,0,183,148,27,294,149,161,6,4,2,719,330,295,52.8
Brighton,25,17.0,41,0,0,204,172,30,290,130,196,1,3,2,730,223,245,47.6
Burnley,24,17.0,26,2,1,168,152,25,210,170,162,1,5,3,597,266,318,45.5
Chelsea,25,17.0,37,4,1,200,207,26,288,172,161,0,0,0,687,254,213,54.4
Crystal Palace,23,17.0,30,0,0,172,164,33,251,156,214,4,2,0,663,311,328,48.7
Everton,19,17.0,35,1,0,177,193,21,308,133,171,1,3,0,680,353,304,53.7
Fulham,23,17.0,33,0,0,193,174,33,304,133,173,1,3,2,672,213,258,45.2
Leeds United,23,17.0,27,0,0,177,204,26,312,149,191,2,3,1,669,274,300,47.7
Liverpool,23,17.0,33,0,0,175,175,37,352,109,146,0,3,0,632,296,219,57.5
Manchester City,24,17.0,28,0,0,166,182,18,256,130,135,2,2,0,672,223,168,57.0
Manchester Utd,23,17.0,26,1,1,183,190,26,319,127,179,3,1,0,728,314,335,48.4
Newcastle Utd,24,17.0,24,2,1,186,180,17,390,124,154,2,2,2,698,290,239,54.8
Nott'ham Forest,27,17.0,30,0,0,183,193,25,396,133,173,1,4,1,722,239,260,47.9
Sunderland,25,17.0,35,2,0,172,173,25,269,137,159,2,1,1,592,313,309,50.3
Tottenham,21,17.0,46,2,1,195,144,32,384,121,205,0,1,0,728,234,287,44.9
West Ham,27,17.0,28,2,1,184,178,28,273,145,151,1,2,1,641,245,274,47.2
Wolves,25,17.0,37,2,0,245,167,24,338,151,188,2,1,4,668,284,280,50.4
