team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Arsenal,24,17.0,29,243,78,32.1,14.29,4.59,0.11,0.33,15.3,6,3,3,28.5,26.1,0.11,0.5,-0.1
Aston Villa,23,17.0,26,197,71,36.0,11.59,4.18,0.13,0.37,17.4,6,0,0,17.9,17.9,0.1,8.1,8.1
Bournemouth,24,17.0,26,223,79,35.4,13.12,4.65,0.11,0.3,18.4,11,2,3,24.1,21.8,0.1,1.9,2.2
Brentford,21,17.0,24,158,59,37.3,9.29,3.47,0.12,0.32,14.9,1,5,7,23.7,18.2,0.12,0.3,0.8
Brighton,25,17.0,24,229,72,31.4,13.47,4.24,0.1,0.31,18.2,9,2,3,26.5,24.2,0.11,-2.5,-2.2
Burnley,24,17.0,19,142,52,36.6,8.35,3.06,0.12,0.33,17.9,9,2,2,14.8,13.3,0.1,4.2,3.7
Chelsea,25,17.0,29,238,84,35.3,14.0,4.94,0.12,0.33,16.7,9,1,1,28.1,27.3,0.12,0.9,0.7
Crystal Palace,23,17.0,20,194,65,33.5,11.41,3.82,0.08,0.25,16.3,2,4,4,27.7,24.7,0.13,-7.7,-8.7
Everton,19,17.0,17,174,48,27.6,10.24,2.82,0.09,0.33,16.2,7,1,1,19.7,19.0,0.11,-2.7,-3.0
Fulham,23,17.0,21,192,55,28.6,11.29,3.24,0.1,0.36,16.9,3,1,1,18.4,17.6,0.09,2.6,2.4
Leeds United,23,17.0,24,219,62,28.3,12.88,3.65,0.1,0.35,16.1,5,2,3,23.9,21.4,0.11,0.1,0.6
Liverpool,23,17.0,27,257,72,28.0,15.12,4.24,0.1,0.36,17.1,6,1,1,26.6,25.9,0.1,0.4,0.1
Manchester City,24,17.0,38,238,89,37.4,14.0,5.24,0.16,0.42,15.6,5,1,2,32.4,30.9,0.13,5.6,6.1
Manchester Utd,23,17.0,29,277,90,32.5,16.29,5.29,0.1,0.3,16.9,5,2,4,31.5,28.5,0.11,-2.5,-1.5
Newcastle Utd,24,17.0,23,203,69,34.0,11.94,4.06,0.1,0.29,18.1,4,3,3,23.2,20.8,0.11,-0.2,-0.8
Nott'ham Forest,27,17.0,17,208,65,31.3,12.24,3.82,0.08,0.25,17.0,7,1,1,20.2,19.4,0.09,-3.2,-3.4
Sunderland,25,17.0,17,161,49,30.4,9.47,2.88,0.09,0.31,16.1,2,2,2,14.7,13.1,0.08,2.3,1.9
Tottenham,21,17.0,25,168,55,32.7,9.88,3.24,0.15,0.45,15.6,4,0,0,16.2,16.2,0.1,8.8,8.8
West Ham,27,17.0,18,168,58,34.5,9.88,3.41,0.1,0.29,16.1,4,1,1,17.4,16.6,0.11,0.6,0.4
Wolves,25,17.0,8,145,45,31.0,8.53,2.65,0.05,0.16,17.5,8,1,2,14.9,13.3,0.09,-6.9,-6.3
