team,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,xg_for,xg_against
Liverpool,17,12,4,1,38,12,26,40,35.5,14.2
Arsenal,17,11,4,2,35,14,21,37,33.2,15.8
Manchester City,17,11,3,3,36,16,20,36,34.8,14.5
Chelsea,17,10,4,3,32,18,14,34,30.5,19.2
Newcastle,17,9,5,3,28,15,13,32,26.8,16.8
Tottenham,17,8,6,3,30,18,12,30,28.5,20.2
Aston Villa,17,8,5,4,26,20,6,29,25.2,21.5
Manchester Utd,17,7,6,4,24,18,6,27,25.8,20.8
Brighton,17,7,5,5,25,22,3,26,24.2,22.5
Nottingham Forest,17,7,4,6,22,22,0,25,21.5,23.2
Bournemouth,17,6,6,5,22,20,2,24,21.8,21.8
West Ham,17,6,5,6,21,22,-1,23,22.5,23.5
Fulham,17,6,5,6,22,22,0,23,21.2,22.8
Brentford,17,6,4,7,24,26,-2,22,23.5,24.5
Crystal Palace,17,5,6,6,18,20,-2,21,19.2,22.2
Everton,17,5,5,7,16,22,-6,20,17.8,23.8
Wolves,17,4,6,7,18,24,-6,18,19.5,25.2
Leeds,17,4,5,8,20,28,-8,17,19.2,26.5
Burnley,17,3,5,9,15,28,-13,14,16.8,27.8
Sheffield Utd,17,2,5,10,12,32,-20,11,14.5,30.5
